Country Name,Access to electricity (% of population),Adolescents out of school (% of lower secondary school age),Adults (ages 15-49) newly infected with HIV,Bank liquid reserves to bank assets ratio (%),"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),Number of deaths ages 5-9 years,Number of deaths ages 10-14 years,Number of deaths ages 15-19 years,Number of deaths ages 20-24 years,Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,Number of under-five deaths
"Middle East, North Africa, Afghanistan & Pakistan",96.4226367435274,,,18.2268812375402,5.28288911918863,72.0839412410497,0.113762722954098,22757,22482,34828,39864,175580,4700,110868,197806
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",96.0854287468734,,,21.9289198557434,5.55223906087096,71.2758849884582,0.426581534425208,48882,44337,63784,79618,585347,23000,416787,669705
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",96.0574946837091,,,21.9823335764182,5.54049504420754,71.3194560888195,0.429466745488327,46814,42536,61376,76287,583263,23000,415513,665849
Middle income,95.1583884632963,,,22.6626441433738,7.13475452367221,72.7431938727471,0.376070932145231,294835,242299,371735,502892,2408933,162000,1591692,3176685
North America,100,,,,9.08297269485475,78.7328213732191,0.0231389844146408,2678,3908,13513,23200,21893,650,13529,25797
OECD members,99.9229805241215,,,,9.06971770767441,80.1615573011432,0.0264513438410788,13032,16195,41316,66501,80268,2400,51678,96927
Other small states,94.5040760650772,,,15.6930790308665,7.63804650374149,73.5646945094343,0.21884739579274,596,614,1236,1531,4983,200,3092,5841
Pacific island small states,88.8705713618501,,,,6.97221180013268,69.2745949035856,0.284442507479695,141,127,214,261,1185,56,673,1470
Post-demographic dividend,100,,,,10.0364573775258,80.8228346378274,0.0143104940392829,5489,7537,24395,41484,40210,1000,25700,47777
Pre-demographic dividend,52.5309883201788,,,16.6392092930704,8.0595531296861,62.1636298902791,2.17794725898995,270145,156920,217562,249319,1673313,171000,995504,2561983
Small states,94.7999610400142,,,20.7055452371964,7.61640026183784,72.9007197557042,0.204944299420885,820,857,1756,2320,7273,300,4552,8526
South Asia,99.4087889697405,,,12.1650441628565,6.47109012670958,72.3247648783903,0.261817818784736,72500,84011,133761,182112,1081758,43000,784055,1244867
South Asia (IDA & IBRD),99.4087889697405,,,12.1650441628565,6.47109012670958,72.3247648783903,0.18356053371836,45566,61458,102136,138623,667244,24000,475116,767035
Sub-Saharan Africa,53.2563309010663,,,15.6721091992934,8.05483445242045,62.6029134885664,1.80779379059821,287958,171886,241303,277783,1817652,187000,1099681,2764993
Sub-Saharan Africa (excluding high income),53.0074817273216,,,15.5723575241119,8.29325755509932,62.0654798813283,2.02979391211419,275295,163211,220930,257025,1672508,169000,987347,2577731
Sub-Saharan Africa (IDA & IBRD countries),53.2563309010663,,,15.6721091992934,8.05483445242046,62.6029134885664,1.908419242273,287958,171886,241303,277783,1817652,177000,1099681,2764993
